name,charity data link
"""BETHESDA"" ROMANIAN CHURCH OF GOD",https://www.charitydata.ca/charity/bethesda-romanian-church-of-god/875769515RR0001/
"""Grachanica"" Serbian Eastern Orthodox Church, Congregation of Windsor, Ontario, Canada",https://www.charitydata.ca/charity/grachanica-serbian-eastern-orthodox-church-congregation-of-windsor-ontario-canada/107445736RR0001/
"""IGLESIA NI CRISTO"" CHURCH OF CHRIST, MANITOBA INC.",https://www.charitydata.ca/charity/iglesia-ni-cristo-church-of-christ-manitoba-inc/107502031RR0001/
(SHOUTERS) NATIONAL EVANGELICAL SPIRTUAL BAPTIST FAITH INTERNATIONAL CENTRE OF CANADA,https://www.charitydata.ca/charity/shouters-national-evangelical-spirtual-baptist-faith-international-centre-of-canada/893184473RR0001/
1 PETER 2:4-5 MINISTRIES,https://www.charitydata.ca/charity/1-peter-24-5-ministries/805830577RR0001/
100 MILE EVANGELICAL FREE CHURCH,https://www.charitydata.ca/charity/100-mile-evangelical-free-church/119309938RR0001/
100 MILE HOUSE BAPTIST CHURCH,https://www.charitydata.ca/charity/100-mile-house-baptist-church/119309946RR0001/
"100 Mile House Congregation of Jehovah's Witnesses, 100 Mile House, British Columbia",https://www.charitydata.ca/charity/100-mile-house-congregation-of-jehovahs-witnesses-100-mile-house-british-columbia/765886288RR0001/
"1000 ISLANDS MONTHLY MEETING, SOCIETY OF FRIENDS,",https://www.charitydata.ca/charity/1000-islands-monthly-meeting-society-of-friends/119309995RR0001/
10427632 Canada Centre,https://www.charitydata.ca/charity/10427632-canada-centre/792067688RR0001/
12434075 Canada Society,https://www.charitydata.ca/charity/12434075-canada-society/705524932RR0001/
13728412 Canada Society,https://www.charitydata.ca/charity/13728412-canada-society/122647001RR0001/
153-CULTURE CHRISTIAN FELLOWSHIP,https://www.charitydata.ca/charity/153-culture-christian-fellowship/769707886RR0001/
"15:5 CHURCH, INC.",https://www.charitydata.ca/charity/155-church-inc/769847120RR0001/
1st apostolic church of yellowknife,https://www.charitydata.ca/charity/1st-apostolic-church-of-yellowknife/854303583RR0001/
1ST CALVARY PENTECOSTAL CHURCH WINDSOR,https://www.charitydata.ca/charity/1st-calvary-pentecostal-church-windsor/889523791RR0001/
1ST ST JOHN'S LUTHERAN CHURCH,https://www.charitydata.ca/charity/1st-st-johns-lutheran-church/133923771RR0001/
21C HOPE KOREAN METHODIST CHURCH,https://www.charitydata.ca/charity/21c-hope-korean-methodist-church/828894014RR0001/
24/7 Church,https://www.charitydata.ca/charity/247-church/825250566RR0001/
3RD HEAVEN MINISTRIES,https://www.charitydata.ca/charity/3rd-heaven-ministries/791662919RR0001/
419 Ministries Canada,https://www.charitydata.ca/charity/419-ministries-canada/744160003RR0001/
5 STONES CHURCH,https://www.charitydata.ca/charity/5-stones-church/889280103RR0001/
614 Church,https://www.charitydata.ca/charity/614-church/843182197RR0001/
7TH DAY CHURCH OF GOD INTERNATIONAL,https://www.charitydata.ca/charity/7th-day-church-of-god-international/869799205RR0001/
A BLAZE OF GLORY MINISTRIES,https://www.charitydata.ca/charity/a-blaze-of-glory-ministries/848640298RR0001/
A CASE OF FAITH MINISTRIES,https://www.charitydata.ca/charity/a-case-of-faith-ministries/866863483RR0001/
A NEW BEGINNING APOSTOLIC CHURCH,https://www.charitydata.ca/charity/a-new-beginning-apostolic-church/872218565RR0001/
A Place By The Well,https://www.charitydata.ca/charity/a-place-by-the-well/757941919RR0001/
A.C.T.S (Apostles' Church of Today Saints),https://www.charitydata.ca/charity/acts-apostles-church-of-today-saints/780805693RR0001/
AARON HOUSE MINISTRIES,https://www.charitydata.ca/charity/aaron-house-ministries/866781552RR0001/
Aaron Ministries Network,https://www.charitydata.ca/charity/aaron-ministries-network/810396192RR0001/
ABASARUZI MISSIONARY CHURCH (AMC),https://www.charitydata.ca/charity/abasaruzi-missionary-church-amc/801509340RR0001/
ABBEY CHARITABLE TRUST,https://www.charitydata.ca/charity/abbey-charitable-trust/139024855RR0001/
ABBEY-LANCER/PORTREEVE PASTORAL CHARGE,https://www.charitydata.ca/charity/abbey-lancerportreeve-pastoral-charge/106679178RR0001/
ABBEYDALE CHRISTIAN FELLOWSHIP,https://www.charitydata.ca/charity/abbeydale-christian-fellowship/833844442RR0001/
ABBOTSFORD BAPTIST CHURCH,https://www.charitydata.ca/charity/abbotsford-baptist-church/118775980RR0001/
ABBOTSFORD CELEBRATION CHRISTIAN FELLOWSHIP,https://www.charitydata.ca/charity/abbotsford-celebration-christian-fellowship/816693956RR0001/
ABBOTSFORD COMMUNITY CHURCH,https://www.charitydata.ca/charity/abbotsford-community-church/867876906RR0001/
ABBOTSFORD KOREAN PRESBYTERIAN CHURCH,https://www.charitydata.ca/charity/abbotsford-korean-presbyterian-church/869523324RR0001/
Abbotsford Pastoral Charge,https://www.charitydata.ca/charity/abbotsford-pastoral-charge/118776087RR0001/
ABBOTSFORD PENTECOSTAL ASSEMBLY,https://www.charitydata.ca/charity/abbotsford-pentecostal-assembly/118776103RR0001/
ABBOTSFORD VISION CHURCH,https://www.charitydata.ca/charity/abbotsford-vision-church/823648092RR0001/
"Abbott Heights Congregation of Jehovah's Witnesses, Quesnel, British columbia",https://www.charitydata.ca/charity/abbott-heights-congregation-of-jehovahs-witnesses-quesnel-british-columbia/765929286RR0001/
ABERDEEN BAPTIST CHURCH,https://www.charitydata.ca/charity/aberdeen-baptist-church/849934872RR0001/
