BN/Registration Number,Organization name,Charity Status,Type of qualified donee,Effective Date of Status,Sanction,Designation,Charity type,Category,Address,City,"Province, territory, outside of Canada",Country,Postal code/Zip code
121500284RR0001,(PVS) POLICE VICTIM SERVICES OF BRITISH COLUMBIA,Registered,Charity,1993-06-26,,1,Other purposes beneficial to the community,160,751 PIEDMONT DR,VICTORIA,BC,CA,V8Y1L9
817628548RR0001,Église souffle de vie,Registered,Charity,2008-06-26,,1,Advancement of Religion,30,320 EIGHTH ST,NEW WESTMINSTER,BC,CA,V3M3R4
875769515RR0001,BETHESDA ROMANIAN CHURCH OF GOD,Registered,Charity,2001-04-30,,1,Advancement of Religion,30,2995 CHRISTIE RD,QUALICUM BEACH,BC,CA,V9K2L7
118970805RR0001,LIF LIFE INTERNATIONAL FOUNDATION INC.,Registered,Charity,1982-11-26,,3,Advancement of Religion,70,213-566 NORTH NECHAKO RD,PRINCE GEORGE,BC,CA,V2K1A1
888368867RR0001,"META, MOTORSPORT EMERGENCY & TURNWORKERS ASSOCIATION",Registered,Charity,1992-10-01,,1,Other purposes beneficial to the community,160,10952 MCADAM ROAD,DELTA,BC,CA,V4C3E8
127615003RR0001,WORKLINK EMPLOYMENT SOCIETY,Registered,Charity,1993-12-01,,1,Other purposes beneficial to the community,160,202 - 3179 JACKLIN RD,VICTORIA,BC,CA,V9B3Y7
119229763RR0001,d'Esterre Seniors' Centre Association,Registered,Charity,1978-01-03,,1,Other purposes beneficial to the community,200,1801 BEAUFORT AVE,COMOX,BC,CA,V9M1R9
833169550RR0001,eatART Foundation,Registered,Charity,2008-01-22,,1,Other purposes beneficial to the community,160,204 - 1457 8TH AVE E,VANCOUVER,BC,CA,V5N1T3
738330083RR0001,eDemocracy Research Foundation/Fondation de Recherche eDemocratie,Registered,Charity,2019-10-11,,1,Other purposes beneficial to the community,210,26 - 660 JACKSON AVE,VANCOUVER,BC,CA,V6A3B7
792316143RR0001,inGIRLS CLUB Association,Registered,Charity,2022-05-19,,1,Other purposes beneficial to the community,110,3688 CESSNA DRIVE,RICHMOND,BC,CA,V7B1C7
750231003RR0001,iGlobe Health Foundation,Registered,Charity,2023-01-01,,1,Other purposes beneficial to the community,110,440 - 5900 NO. 3 RD,RICHMOND,BC,CA,V6X3P7
707287207RR0001,qathet Community Justice Society,Registered,Charity,2023-10-12,,1,Other purposes beneficial to the community,160,218 - 6975 ALBERNI ST,POWELL RIVER,BC,CA,V8A2B8
762594307RR0001,youthLEADarts Inc.,Registered,Charity,2024-07-04,,1,Advancement of Education,12,14 - 7460 MOFFATT RD,RICHMOND,BC,CA,V6Y3S1
806665014RR0001,A Better Life Foundation,Registered,Charity,2008-05-01,,1,Other purposes beneficial to the community,210,803 - 33 WATER ST,VANCOUVER,BC,CA,V6B1R4
835857525RR0001,A BETTER LIFE DOG RESCUE SOCIETY (ABLDR),Registered,Charity,2006-10-19,,1,Other purposes beneficial to the community,180,1835 136A STREET,SURREY,BC,CA,V4A9E9
134210509RR0001,A C P D -ACTION COMMITTEE OF PEOPLE WITH DISABILITIES SOCIETY,Registered,Charity,1975-01-23,,1,Other purposes beneficial to the community,110,948 VIEW ST,VICTORIA,BC,CA,V8V3L5
