Designation description:,Charity type:,Category:,Business Registration Number:,Website:,Mailing Address:
Charitable Organization,Advancement of Religion,Christianity / Other,875769515RR0001,n/a,"2995 CHRISTIE RDQUALICUM BEACH, British ColumbiaV9K2L7CA"
Charitable Organization,Advancement of Religion,Christianity / Other,107445736RR0001,n/a,"5060 TECUMSEH RD E, SUITE 109 UNIT 7WINDSOR, OntarioN8T1C1CA"
Charitable Organization,Advancement of Religion,Christianity / Other,107502031RR0001,n/a,"485 INGERSOLL STWINNIPEG, ManitobaR3G2J5CA"
Charitable Organization,Advancement of Religion,Christianity / Baptist,893184473RR0001,n/a,"534 SHEPPARD AVEPICKERING, OntarioL1V1E8CA"
Charitable Organization,Advancement of Religion,Christianity / Other,805830577RR0001,n/a,"1605 GREENWAY DRIVEPARKHILL, OntarioN0M2K0CA"
Charitable Organization,Advancement of Religion,Christianity / Other,119309938RR0001,n/a,"BOX 856100 MILE HOUSE, British ColumbiaV0K2E0CA"
Charitable Organization,Advancement of Religion,Christianity / Baptist,119309946RR0001,WWW.100MILEBAPTIST.COM,"5495 TATTON STN. RD100 MILE HOUSE, British ColumbiaV0K2E1CA"
Charitable Organization,Advancement of Religion,Christianity / Jehovah's Witnesses,765886288RR0001,n/a,"5984 VALLEYVIEW DR100 MILE HOUSE, British ColumbiaV0K2E3CA"
Charitable Organization,Advancement of Religion,Christianity / Other,119309995RR0001,www.kingston.quaker.ca,"PO BOX 1003 STN MAINKINGSTON, OntarioK7L4X8CA"
Charitable Organization,Advancement of Religion,Christianity / Other,792067688RR0001,n/a,"71 - 5450 CANOTEK RDGLOUCESTER, OntarioK1J9G5CA"
Charitable Organization,Advancement of Religion,Christianity / Church of Christ,705524932RR0001,www.christcommunitypei.ca,"PO BOX 20013 RPO SHERWOODCHARLOTTETOWN, Prince Edward IslandC1A9E3CA"
Charitable Organization,Advancement of Religion,Christianity / Anglican,122647001RR0001,n/a,"7701 LUNDY'S LANENIAGARA FALLS, OntarioL2H1H3CA"
Charitable Organization,Advancement of Religion,Christianity / Other,769707886RR0001,n/a,"14854 82A AVENUESURREY, British ColumbiaV3S7R9CA"
Charitable Organization,Advancement of Religion,Christianity / Other,769847120RR0001,www.15-5.ca,"123 - 412 WILLOWGROVE SQSASKATOON, SaskatchewanS7W0T4CA"
Charitable Organization,Advancement of Religion,Christianity / Other,854303583RR0001,n/a,"5134 FORREST DRYELLOWKNIFE, Northwest TerritoriesX1A2W6CA"
Charitable Organization,Advancement of Religion,Christianity / Other,889523791RR0001,n/a,"2425 CLEMENCEAU BLVD.WINDSOR, OntarioN8T2P4CA"
Charitable Organization,Advancement of Religion,Christianity / Protestant,133923771RR0001,n/a,"107A ADELAIDE ST, BOX 475MITCHELL, OntarioN0K1N0CA"
Charitable Organization,Advancement of Religion,Christianity / Other,828894014RR0001,n/a,"60 MEADOWBROOK LANEL'ETETE, New BrunswickE5C2P1CA"
Charitable Organization,Advancement of Religion,Christianity / Pentecostal,825250566RR0001,n/a,"427 - 3060 ROTARY WAYBURLINGTON, OntarioL7M0G9CA"
Charitable Organization,Advancement of Religion,Christianity / Other,791662919RR0001,n/a,"900 NIPISSING RDMILTON, OntarioL9T4Z9CA"
Charitable Organization,Advancement of Religion,Christianity / Other,744160003RR0001,www.419ministries.ca,"29 JOCELYN LEE COURTHAMMONDS PLAINS, Nova ScotiaB4B1T8CA"
Charitable Organization,Advancement of Religion,Christianity / Other,889280103RR0001,FIVESTONESCHURCH.ORG,"PO BOX 47215 RPO ROYALNEW WESTMINSTER, British ColumbiaV3L0A5CA"
Charitable Organization,Advancement of Religion,Christianity / Mennonite / Brethren / Hutterite,843182197RR0001,WWW.614CHURCH.COM,"PO BOX 22028 RPO THORNCLIFFETORONTO, OntarioM4H1N9CA"
Charitable Organization,Advancement of Religion,Christianity / Other,869799205RR0001,n/a,"18 DRAGON TREE CRESCENTBRAMPTON, OntarioL6R2P6CA"
Charitable Organization,Advancement of Religion,Christianity / Other,848640298RR0001,n/a,"3554 LEGENDARY DRLONDON, OntarioN6L0A3CA"
Charitable Organization,Advancement of Religion,Christianity / Other,866863483RR0001,WWW.ACOFM.ORG,"39 GRASETT CRESCENTBARRIE, OntarioL4N6Z8CA"
Charitable Organization,Advancement of Religion,Christianity / Other,872218565RR0001,n/a,"61 MINTWOOD DRNORTH YORK, OntarioM2M3A6CA"
Charitable Organization,Advancement of Religion,Christianity / Pentecostal,757941919RR0001,n/a,"403 - 701 SHEPPARD AVE WNORTH YORK, OntarioM3H0B2CA"
