,id,name,website,phone,email,description
0,100295138RR0001,ASSEMBLEE CHRETIENNE LOCALE DE CHATEAUGUAY INC.,www.acldechateauguay.org,phone number,email,"Les activités de l'Assemblée Chrétienne locale sont les suivantes: Prêcher l'Évangile, enseigner et promouvoir l'étude et l'accueil de la parole de Dieu dans le monde par le biais de la prédication (diffusion sur Internet) et de la distribution par ses membres de messages évangéliques (en français et en anglais). Marc 16:15 Répandre la Bonne Nouvelle du Seigneur Jésus-Christ afin de faire de ce monde actuel un meilleur endroit où vivre. L'ACL possède une bibliothèque de messages enregistrés et de tracs imprimés que les membres distribuent ici et là gratuitement. Le pasteur est au service du peuple de Dieu à plein temps. Il proclame les enseignements bibliques de la Parole de Dieu non seulement dans les services réguliers de l?église, mais aussi dans les mariages, funérailles, consécrations d?enfants etc. 2Timothée 4 :2 Son travail journalier est de préparer les prédications par l?étude et la méditation de la Bible, et par la prière. Par ailleurs, le pasteur, ainsi que les diacres et certains membres du comité sont appelés à faire des visites à domicile, à l?hôpital, et aux résidences pour ainés etc. Mathieu 25 :36."
1,106679178RR0001,ABBEY-LANCER/PORTREEVE PASTORAL CHARGE,,phone number,email,NONE
2,106680085RR0001,Aberdeen Mennonite Church Inc.,WWW.ABERDEENEMC.CA,phone number,email,HOLD WEEKLY WORSHIP SERVICES. PROVIDE CHILDREN AND YOUTH PROGRAMS/SUNDAY SCHOOL. PROVIDE PASTORAL CARE. HOLD FELLOWSHIP MEALS. CONDUCT COMMUNITY OUTREACH. DONATE FUNDS IN SUPPORT OF DENOMINATIONAL MISSIONARY ACTIVITIES.
3,106680127RR0001,ABERDEEN MENNONITE CHURCH,,phone number,email,"SERVING THE COMMUNITY WITH WEEKLY WORSHIP SERVICES, SUNDAY SCHOOL, BIBLE STUDY, PRAYER, SUPPORTING THE SASKATCHEWAN AND CANADIAN MENNONITE CONFERENCES, MENNONITE DISASTER SERVICE, MENNONITE CENTRAL COMMITTEE, CANADIAN FOODGRAINS BANK"
4,106680820RR0001,ABUNDANT LIFE ASSEMBLY,,phone number,email,"WEEKLY CHURCH SERVICES, SUNDAY-SCHOOL AND MID-WEEK SERVICES AND PRAYER GROUP"
5,106680838RR0001,Abundant Life Worship Centre,,phone number,email,TO-HOLD-WEEKLY-CHURCH-MEETINGS.-CARRY-ON-BIBLE-STUDY-GROUPS-THROUGH-OUT-THE-YEAR.-HAVE-WEEKLY-CHRISTIAN-FELLOWSHIP. OUTREACH-TO-THE-NEEDY-IN-THE-COMMUNITY.
6,106680861RR0001,ABUNDANT LIFE CHAPEL,WWW.ABUNDANTLIFECHAPEL.CA,phone number,email,"SUNDAY MORNING WORSHIP SERVICES IN SANCTUARY WITH KIDS CHURCH IN BASEMENT. EVERY OTHER THURSDAY MORNING LADIES BIBLE STUDY/PRAYER. MONTHLY SUNDAY EVENING HYMN SING/SHARE. MONTHLY YOUTH GROUP. SPECIAL EVENTS: HALLOWEEN FAMILY DROP IN TENT IN PARK, CHRISTMAS EVE SERVICE, BEACH BAPTISM, SUMMER OUTDOOR SERVICES. CONTINUE TO OFFER WEEKLY ON LINE SERVICES PASTOR OFFICIATED FUNERALS, WEDDINGS, AND BABY DEDICATIONS. PROVIDED CARE AND COUNSELING. SERVED AS LEGION PADRE."
7,106680978RR0001,ACACIAVILLE UNITED BAPTIST CHURCH,,phone number,email,WEEKLY WORSHIP SERVICES AND BIBLE STUDY. PROVIDING SUPPORT TO MEMBERS OF THE LOCAL COMMUNITIES AND SENIORS. THE CHURCH MANAGES AND MAINTAINS 2 CEMENTERIES.
8,106685613RR0001,ADMASTON PASTORAL CHARGE,ADMASTONPC.COM,phone number,email,"Weekly worship services. pastoral care, Christian education, summer vacation bible school, support mission and services, collect food and donations for foodbanks"
9,106686603RR0001,ADVENT LUTHURAN CHURCH,,phone number,email,AFTER SUNDAY SEVICE FELLOWSHIP LUNCHEON ONCE PER MONTH.
10,106686959RR0001,AENON BAPTIST CHURCH,WWW.AENONBAPTISTCHURCH.CA,phone number,email,"WEEKLY WORSHIP SERVICES @ 52 WKS. SUNDAY SCHOOL 9 MOS. BIBLE STUDY & PRAYER MEETINGS 52 WKS FELLOWSHIP SUNDAYS, ENCOURAGEMENT TIMES PERIODICALLY, JR & SR YOUTH GROUP 9 MOS., VARIOUS BUSINESS MEETINGS, WMS/ABU MEETINGS 9 MOS, OPERATES A FREE CLOTHING DEPOT AND VBS IN SUMMER."
11,106690597RR0001,AJAX BAPTIST CHURCH,WWW.AJAXBAPTIST.CA,phone number,email,WE HOLD WEEKLY SUNDAY MORNING WORSHIP SERVICES AND STREAM LIVE ON FACEBOOK AND IS AVAILABLE ON YOU-TUBE. WE PROVIDE SUNDAY CHRISTIAN EDUCATION FOR CHILDREN OUR NURSERY IS OPEN FOR INFANTS DURING SERVICES WE HOLD MEN AND WOMEN'S BIBLE STUDIES WEEKLY WE HOLD MONTHLY LADIES MOSIAC WORSHIP WE RENT SPACE TO AJAX LIGHTHOUSE ON SPECIAL OCCASIONS WE HAVE JOINT SERVICES WITH AJAX LIGHTHOUSE IN SUMMER WE RENT SPACE TO PEDALHEADS
12,106696537RR0001,ALDERGROVE ALLIANCE CHURCH,WWW.ALDERGROVEALLIANCE.ORG,phone number,email,"PROVISION OF FELLOWSHIP AND WORSHIP SERIVCES TO THE COMMUNITY OF ALDERGROVE, BC"
13,106696784RR0001,ALDERWOOD UNITED CHURCH,WWW.ALDERWOODUC.CA,phone number,email,"We continue to offer Hybrid Services for our Church Services, on-line and Zoom services, small groups programs, meetings and prayer groups."
14,106700198RR0001,ALIX EVANGELICAL FREE CHURCH,,phone number,email,"Sunday Services, Adult Sunday School, Youth Sunday School, Bible Study Classes, Prayer meetings, Christmas Pagent / dinner, Men's Prayer Breakfast, Ladies Night out, Youth Group."
