,id,name,website,phone,email,description
0,106679178RR0001,ABBEY-LANCER/PORTREEVE PASTORAL CHARGE,,phone number,email,NONE
1,106680085RR0001,Aberdeen Mennonite Church Inc.,WWW.ABERDEENEMC.CA,phone number,email,HOLD WEEKLY WORSHIP SERVICES. PROVIDE CHILDREN AND YOUTH PROGRAMS/SUNDAY SCHOOL. PROVIDE PASTORAL CARE. HOLD FELLOWSHIP MEALS. CONDUCT COMMUNITY OUTREACH. DONATE FUNDS IN SUPPORT OF DENOMINATIONAL MISSIONARY ACTIVITIES.
2,106680127RR0001,ABERDEEN MENNONITE CHURCH,,phone number,email,"SERVING THE COMMUNITY WITH WEEKLY WORSHIP SERVICES, SUNDAY SCHOOL, BIBLE STUDY, PRAYER, SUPPORTING THE SASKATCHEWAN AND CANADIAN MENNONITE CONFERENCES, MENNONITE DISASTER SERVICE, MENNONITE CENTRAL COMMITTEE, CANADIAN FOODGRAINS BANK"
3,107445736RR0001,"""Grachanica"" Serbian Eastern Orthodox Church, Congregation of Windsor, Ontario, Canada",,phone number,email,THE CHURCH PROVIDES A PLACE OF WORSHIP FOR THE SERBIAN COMMUNITY.
4,107502031RR0001,"""IGLESIA NI CRISTO"" CHURCH OF CHRIST, MANITOBA INC.",,phone number,email,HOLD INC GIVING PROJECTS - GIVE DONATIONS TO TOWN/ CITIES IN CANADA FOR LOW INCOME FAMILIES HOLD INC GIVING PROJECTS - GIVE DONATIONS TO MEMBERS AFFECTED BY COVID-19 PANDEMIC
5,118775980RR0001,ABBOTSFORD BAPTIST CHURCH,ABBYBAPTIST.COM,phone number,email,"SUNDAY SERVICES IN PERSON OR VIA LIVE STREAM, BIBLE STUDY GROUPS, MEN'S COFFEE AND WOMEN'S TUESDAY BIBLE STUDY, CARE FOR BEREAVED OR ILL, COUNSELING, IN PERSON OR VIA ZOOM, PRAYER TIME BEFORE SUNDAY SERVICE"
6,118776087RR0001,Abbotsford Pastoral Charge,,phone number,email,"1. PASTORAL CARE IN THE VILLAGE OF ABBOTSFORD AND THE SURROUNDING AREA 2. SUNDAY CHURCH SERVICES, FUNERALS, BAPTISMS AND WEDDINGS"
7,118776103RR0001,ABBOTSFORD PENTECOSTAL ASSEMBLY,ww.apaonline.ca,phone number,email,"ABBOTSFORD PENTECOSTAL ASSEMBLY DESIRES TO SEE PEOPLE OF ALL AGES FEEL AT HOME, AND FIND POINTS OF MEANING AND CONNECTION WITH OTHERS AND WITH THEIR FAITH. TO FACILITATE THIS, WE HOLD REGULAR MEETINGS FOR ALL AGES ON SUNDAYS AND DURING THE WEEK, WE ORGANIZE SMALLER MEETINGS IN PEOPLE'S HOMES TO PROVIDE A MORE INTENTIONAL EXPERIENCE WITH A SMALLER GROUP OF PEOPLE, AND WE IDENTIFY AND TRY TO MEET BASIC NEEDS FOR MEMBERS OF OUR COMMUNITY."
8,118776327RR0001,ABIDING WORD EVANGELICAL LUTHERAN CHURCH,WWW.ABIDINGWORD.CA,phone number,email,"REGULAR CHURCH SERVICES, CHILDRENS SUNDAY SCHOOL, ADULT BIBLE CLASSES, SMALL GROUP BIBLE STUDIES FOR POTENTIAL NEW MEMBERS, CONFIRMATION CLASSES, WEDDINGS AND BAPTISMS"
9,119309938RR0001,100 MILE EVANGELICAL FREE CHURCH,,phone number,email,We hold worship services and Sunday School weekly. We provide ministries for women and men. We have once a month Coffee Fellowship time and Men's Breakfast. We support a summer camp for recreation and religious programs.
