BN/Registration Number,Organization name,Charity Status,Type of qualified donee,Effective Date of Status,Sanction,Designation,Charity type,Category,Address,City,"Province, territory, outside of Canada",Country,Postal code/Zip code
118852433RR0001,BRITISH COLUMBIA'S CHILDREN'S HOSPITAL FOUNDATION,Registered,Charity,24473,,2,Other purposes beneficial to the community,210,938 28TH AVE W,VANCOUVER,BC,CA,V5Z4H4
129349858RR0001,BROADMOOR BAPTIST CHURCH,Registered,Charity,24473,,1,Advancement of Religion,30,8140 SAUNDERS ROAD,RICHMOND,BC,CA,V7A2A5
869296327RR0001,BROADWAY COMMUNITY OF HOPE SOCIETY,Registered,Charity,36434,,1,Relief of Poverty,1,535 EAST BROADWAY,VANCOUVER,BC,CA,V5T1X4
118819366RR0001,BROADWAY PENTECOSTAL BENEVOLENT ASSOCIATION OF BRITISH COLUMBIA,Registered,Charity,27764,,1,Relief of Poverty,1,2700 EAST BROADWAY,VANCOUVER,BC,CA,V5M1Y8
118819374RR0001,BROADWAY PENTECOSTAL CARE ASSOCIATION,Registered,Charity,29677,,1,Other purposes beneficial to the community,100,1377 LAMEYS MILL ROAD,VANCOUVER,BC,CA,V6H3S9
106812811RR0001,BROADWAY PENTECOSTAL CHURCH,Registered,Charity,24473,,1,Advancement of Religion,30,2700 EAST  BROADWAY,VANCOUVER,BC,CA,V5M1Y8
106812936RR0001,BROCK HOUSE SOCIETY,Registered,Charity,27502,,1,Other purposes beneficial to the community,200,3875 POINT GREY RD,VANCOUVER,BC,CA,V6R1B3
864336342RR0001,BROCKTON PREPARATORY SCHOOL SOCIETY,Registered,Charity,38539,,1,Advancement of Education,10,3467 DUVAL RD,NORTH VANCOUVER,BC,CA,V7J3E8
869880559RR0001,BROOKE AND TRACEY WADE FOUNDATION,Registered,Charity,36179,,3,Other purposes beneficial to the community,210,SUITE 500-1195 WEST BROADWAY,VANCOUVER,BC,CA,V6H3X5
106783483RR0001,BROOKSWOOD BAPTIST CHURCH,Registered,Charity,27208,,1,Advancement of Religion,30,20581 36TH AVE,LANGLEY,BC,CA,V3A4Y3
118820174RR0001,BROOKSWOOD SENIOR CITIZENS,Registered,Charity,29952,,1,Other purposes beneficial to the community,200,19899 36 AVE,LANGLEY,BC,CA,V3A2R3
802797100RR0001,BSF International (Canada) Limited,Registered,Charity,41162,,1,Advancement of Religion,70,107 MAPLE DRIVE,PORT MOODY,BC,CA,V3H0A7
890072267RR0001,BUDDHA'S LIGHT INTERNATIONAL ASSOCIATION - VANCOUVER,Registered,Charity,34515,,1,Advancement of Religion,60,6680-8181 CAMBIE RD,RICHMOND,BC,CA,V6X3X9
892342775RR0001,BUDDHIST VIHARA SOCIETY IN B.C.,Registered,Charity,32964,,1,Advancement of Religion,60,18941-80 AVE,SURREY,BC,CA,V4N4J1
866662448RR0001,BUILDERS WITHOUT BORDERS FOUNDATION/FONDATION BATISSEURS SANS FRONTIERES,Registered,Charity,36672,,1,Relief of Poverty,1,1000 - 355 BURRARD ST,VANCOUVER,BC,CA,V6C2G8
832447254RR0001,BUILDING BENEVOLENCE IN A COVID WORLD FOUNDATION,Registered,Charity,40156,,2,Other purposes beneficial to the community,210,125A - 1030 DENMAN ST,VANCOUVER,BC,CA,V6G2M6
865951412RR0001,BUKAS LOOB SA DIYOS COVENANT COMMUNITY VANCOUVER DISTRICT SOciety,Registered,Charity,37124,,1,Advancement of Religion,30,15442 98 AVE,SURREY,BC,CA,V3R7G4
126171123RR0001,BULGARIAN HOME SOCIETY OF BRITISH COLUMBIA CANADA,Registered,Charity,36739,,1,Relief of Poverty,1,354 MARMONT ST,COQUITLAM,BC,CA,V3K4R8
873847966RR0001,BURKE MOUNTAIN NATURALISTS (B.M.N.) SOCIETY,Registered,Charity,35641,,1,Other purposes beneficial to the community,170,PO BOX 52540 RPO COQUITLAM,COQUITLAM,BC,CA,V3B7J4
118821487RR0001,BURNABY APOSTOLIC CHRISTIAN CHURCH,Registered,Charity,26632,,1,Advancement of Religion,30,316 7TH STREET,NEW WESTMINSTER,BC,CA,V3M3K7
106819105RR0001,BURNABY ARTS COUNCIL,Registered,Charity,26875,,1,Advancement of Education,15,6584 DEER LAKE AVENUE,BURNABY,BC,CA,V5G3T7
106819154RR0001,BURNABY ASSOCIATION FOR COMMUNITY INCLUSION,Registered,Charity,24473,,1,Other purposes beneficial to the community,100,130 - 4946 CANADA WAY,BURNABY,BC,CA,V5G4H7
863277448RR0001,BURNABY BIBLE HOUR SOCIETY,Registered,Charity,37477,,1,Advancement of Religion,30,200-3777 MARINE WAY,BURNABY,BC,CA,V5J5A7
899271076RR0001,BURNABY CHILDREN'S CENTRES SOCIETY,Registered,Charity,38267,,1,Other purposes beneficial to the community,160,7500 HANNA CRT,BURNABY,BC,CA,V3N5A3
138158761RR0001,BURNABY CHINESE EVANGELICAL FREE CHURCH,Registered,Charity,33680,,1,Advancement of Religion,30,6112 RUMBLE ST,BURNABY,BC,CA,V5J2C7
118855204RR0001,BURNABY CHRIST CHURCH OF CHINA,Registered,Charity,34775,,1,Advancement of Religion,30,6580 THOMAS  STREET,BURNABY,BC,CA,V5B4P9
106819196RR0001,BURNABY CHRISTIAN PENTECOSTAL CHURCH,Registered,Charity,31935,,1,Advancement of Religion,30,5209 EAST HASTINGS ST,BURNABY,BC,CA,V5B1P9
118821628RR0001,BURNABY COMMUNITY SERVICES SOCIETY,Registered,Charity,29221,,1,Other purposes beneficial to the community,160,2055 ROSSER AVENUE,BURNABY,BC,CA,V5C0H1
118821578RR0001,BURNABY FAMILY LIFE INSTITUTE,Registered,Charity,26997,,1,Other purposes beneficial to the community,160,102-2101 HOLDOM AVE.,BURNABY,BC,CA,V5B0A4
141156422RR0001,BURNABY FAMILY PLACE SOCIETY,Registered,Charity,34213,,1,Relief of Poverty,1,410 CLARE AVE,BURNABY,BC,CA,V5B4L4
126682913RR0001,BURNABY FELLOWSHIP CENTRE SOCIETY,Registered,Charity,33909,,1,Other purposes beneficial to the community,100,153 - 4664 LOUGHEED HWY,BURNABY,BC,CA,V5C5T5
892341561RR0001,BURNABY FIRE FIGHTERS CHARITABLE SOCIETY,Registered,Charity,33084,,2,Other purposes beneficial to the community,210,506 - 5050 KINGSWAY,BURNABY,BC,CA,V5H4C2
131125775RR0001,BURNABY FRENCH LANGUAGE PLAYSCHOOL SOCIETY,Registered,Charity,32325,,1,Advancement of Education,10,P.O. BOX 72032 OLD ORCHARD,BURNABY,BC,CA,V5H4P9
129481388RR0001,BURNABY HOSPICE SOCIETY,Registered,Charity,32571,,1,Other purposes beneficial to the community,100,6855 KINGSWAY,BURNABY,BC,CA,V5E1E4
106819295RR0001,BURNABY HOSPITAL FOUNDATION,Registered,Charity,30042,,2,Other purposes beneficial to the community,210,3935 KINCAID STREET,BURNABY,BC,CA,V5G2X6
132255324RR0001,BURNABY LAKEVIEW PRESCHOOL ASSOCIATION,Registered,Charity,32721,,1,Advancement of Education,10,7777 MAYFIELD ST,BURNABY,BC,CA,V5E2J5
123042723RR0001,BURNABY LOUGHEED LIONS HOUSING SOCIETY,Registered,Charity,33055,,1,Relief of Poverty,1,2750 RUPERT ST,VANCOUVER,BC,CA,V5M3T7
119062222RR0001,BURNABY LYRIC OPERA SOCIETY,Registered,Charity,30987,,1,Other purposes beneficial to the community,190,401 - 1275 15TH AVE W,VANCOUVER,BC,CA,V6H1R9
106819345RR0001,BURNABY MEALS ON WHEELS SOCIETY,Registered,Charity,34085,,1,Relief of Poverty,1,2055 ROSSER AVENUE,BURNABY,BC,CA,V5C0H1
118821636RR0001,BURNABY NORTH BAPTIST CHURCH,Registered,Charity,24473,,1,Advancement of Religion,30,3977 ALBERT STREET,N BURNABY,BC,CA,V5C2E2
869116525RR0001,BURNABY PACIFIC GRACE CHURCH,Registered,Charity,33117,,1,Advancement of Religion,30,3883 TRIUMPH ST,BURNABY,BC,CA,V5C1Y6
118821644RR0001,BURNABY PHOTOGRAPHIC SOCIETY,Registered,Charity,31959,,1,Other purposes beneficial to the community,190,PO BOX 72074 OLD ORCHARD,BURNABY,BC,CA,V5H4P9
118821651RR0001,BURNABY PRO LIFE SOCIETY,Registered,Charity,29545,,1,Relief of Poverty,1,6610 BALMORAL ST,BURNABY,BC,CA,V5E1J1
888022241RR0001,BURNABY PUBLIC LIBRARY,Registered,Charity,31048,,1,Other purposes beneficial to the community,200,6100 WILLINGDON AVE,BURNABY,BC,CA,V5H4N5
890865645RR0001,BURNABY RETIRED TEACHERS' SCHOLARSHIP AND BURSARY FOUNDATION,Registered,Charity,34352,,1,Advancement of Education,11,4054 NORFOLK ST,BURNABY,BC,CA,V5G0C3
130651268RR0001,BURNABY SENIORS OUTREACH SERVICES SOCIETY,Registered,Charity,31959,,1,Relief of Poverty,1,5 - 2055 ROSSER AVE,BURNABY,BC,CA,V5C0H1
875960619RR0001,BURNABY SPORTS HALL OF FAME,Registered,Charity,36999,,1,Other purposes beneficial to the community,200,300 - 1060 AUSTIN AVE,COQUITLAM,BC,CA,V3K3P3
131450413RR0001,BURNABY VOLUNTEER CENTRE SOCIETY,Registered,Charity,32206,,1,Relief of Poverty,1,203-2101 HOLDOM AVE,BURNABY,BC,CA,V5B0A4
106819477RR0001,BURNETT FELLOWSHIP BAPTIST CHURCH,Registered,Charity,24473,,1,Advancement of Religion,30,20639 123RD AVENUE,MAPLE RIDGE,BC,CA,V2X4B1
864565841RR0001,BURNS BOG CONSERVATION FOUNDATION,Registered,Charity,37712,,1,Other purposes beneficial to the community,170,4-7953 120 ST,DELTA,BC,CA,V4C6P6
129166682RR0001,BURNS BOG CONSERVATION SOCIETY,Registered,Charity,34335,,1,Other purposes beneficial to the community,200,PO BOX 71040 RPO NEW,DELTA,BC,CA,V4C8E7
